ElectricityUsage,SystemSize,SystemType,SolarPanel,Inverter,Battery ,NoOfBatteries ,InvetrerCost,NoOfInveters ,NoOfPanels,Tags,SolarSystem
2401-3600,30kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,3,1140000,3,30,2401-3600 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,30kW Hybrid | 30 solar panel- Panasonic Japan | 3 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 7950000
3601-4800,40kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,4,1140000,4,40,3601-4800 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,40kW Hybrid | 40 solar panel- Panasonic Japan | 4 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 10600000
4801-6000,50kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,5,1140000,5,50,4801-6000 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,50kW Hybrid | 50 solar panel- Panasonic Japan | 5 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 13250000
6001-7200,60kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,6,1140000,6,60,6001-7200 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,60kW Hybrid | 60 solar panel- Panasonic Japan | 6 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 15900000
0-120,1kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,109500,1,1,0-120 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,1kW Hybrid | 1 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 251500
121-240,2kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,157500,1,2,121-240 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,2kW Hybrid | 2 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 451500
241-420,3.5kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,324000,1,4,241-420 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 822000
421-480,4kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,510000,1,4,421-480 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,4kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1168000
481-600,5kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,630000,1,5,481-600 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,5kW Hybrid | 5 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1350000
601-900,7.5kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,810000,1,7,601-900 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2134000
901-960,8kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,870000,1,8,901-960 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,8kW Hybrid | 8 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2256000
961-1200,10kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,945000,1,10,961-1200 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,10kW Hybrid | 10 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2455000
1201-1800,15kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,2,870000,2,15,1201-1800 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,15kW Hybrid | 15 solar panel- Panasonic Japan | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 4450000
1801-2400,20kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,2,945000,2,20,1801-2400 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,20kW Hybrid | 20 solar panel- Panasonic Japan | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 4910000
2401-3600,30kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,3,945000,3,30,2401-3600 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,30kW Hybrid | 30 solar panel- Panasonic Japan | 3 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 7365000
3601-4800,40kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,4,945000,4,40,3601-4800 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,40kW Hybrid | 40 solar panel- Panasonic Japan | 4 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 9820000
4801-6000,50kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,5,945000,5,50,4801-6000 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,50kW Hybrid | 50 solar panel- Panasonic Japan | 5 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 12275000
6001-7200,60kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,6,945000,6,60,6001-7200 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,60kW Hybrid | 60 solar panel- Panasonic Japan | 6 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 14730000
0-120,1kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,1,111000,1,1,0-120 Hybrid JA Solar China Goodwee China Lead Acid,1kW Hybrid | 1 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 218000
121-240,2kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,1,165000,1,2,121-240 Hybrid JA Solar China Goodwee China Lead Acid,2kW Hybrid | 2 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 369000
241-420,3.5kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,2,315000,1,4,241-420 Hybrid JA Solar China Goodwee China Lead Acid,3.5kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 723000
421-480,4kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,2,450000,1,4,421-480 Hybrid JA Solar China Goodwee China Lead Acid,4kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 858000
481-600,5kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,3,615000,1,5,481-600 Hybrid JA Solar China Goodwee China Lead Acid,5kW Hybrid | 5 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1185000
601-900,7.5kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,4,780000,1,7,601-900 Hybrid JA Solar China Goodwee China Lead Acid,7.5kW Hybrid | 7 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1554000
901-960,8kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,4,840000,1,8,901-960 Hybrid JA Solar China Goodwee China Lead Acid,8kW Hybrid | 8 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1656000
961-1200,10kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,5,930000,1,10,961-1200 Hybrid JA Solar China Goodwee China Lead Acid,10kW Hybrid | 10 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1950000
0-120,1kW,Hybrid,JA Solar China,SMA Germany ,Lead Acid,1,141000,1,1,0-120 Hybrid JA Solar China SMA Germany  Lead Acid,1kW Hybrid | 1 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 248000
121-240,2kW,Hybrid,JA Solar China,SMA Germany ,Lead Acid,1,210000,1,2,121-240 Hybrid JA Solar China SMA Germany  Lead Acid,2kW Hybrid | 2 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 414000
241-420,3.5kW,Hybrid,JA Solar China,SMA Germany ,Lead Acid,2,390000,1,4,241-420 Hybrid JA Solar China SMA Germany  Lead Acid,3.5kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 798000
421-480,4kW,Hybrid,JA Solar China,SMA Germany ,Lead Acid,2,555000,1,4,421-480 Hybrid JA Solar China SMA Germany  Lead Acid,4kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 963000
481-600,5kW,Hybrid,JA Solar China,SMA Germany ,Lead Acid,3,735000,1,5,481-600 Hybrid JA Solar China SMA Germany  Lead Acid,5kW Hybrid | 5 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1305000
601-900,7.5kW,Hybrid,JA Solar China,SMA Germany ,Lead Acid,4,870000,1,7,601-900 Hybrid JA Solar China SMA Germany  Lead Acid,7.5kW Hybrid | 7 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1644000
901-960,8kW,Hybrid,JA Solar China,SMA Germany ,Lead Acid,4,975000,1,8,901-960 Hybrid JA Solar China SMA Germany  Lead Acid,8kW Hybrid | 8 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1791000
961-1200,10kW,Hybrid,JA Solar China,SMA Germany ,Lead Acid,5,1170000,1,10,961-1200 Hybrid JA Solar China SMA Germany  Lead Acid,10kW Hybrid | 10 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 2190000
0-120,1kW,Hybrid,JA Solar China,CanadainSolar Canada,Lead Acid,1,136500,1,1,0-120 Hybrid JA Solar China CanadainSolar Canada Lead Acid,1kW Hybrid | 1 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 243500
121-240,2kW,Hybrid,JA Solar China,CanadainSolar Canada,Lead Acid,1,195000,1,2,121-240 Hybrid JA Solar China CanadainSolar Canada Lead Acid,2kW Hybrid | 2 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 399000
241-420,3.5kW,Hybrid,JA Solar China,CanadainSolar Canada,Lead Acid,2,330000,1,4,241-420 Hybrid JA Solar China CanadainSolar Canada Lead Acid,3.5kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 738000
421-480,4kW,Hybrid,JA Solar China,CanadainSolar Canada,Lead Acid,2,465000,1,4,421-480 Hybrid JA Solar China CanadainSolar Canada Lead Acid,4kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 873000
481-600,5kW,Hybrid,JA Solar China,CanadainSolar Canada,Lead Acid,3,615000,1,5,481-600 Hybrid JA Solar China CanadainSolar Canada Lead Acid,5kW Hybrid | 5 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1185000
601-900,7.5kW,Hybrid,JA Solar China,CanadainSolar Canada,Lead Acid,4,810000,1,7,601-900 Hybrid JA Solar China CanadainSolar Canada Lead Acid,7.5kW Hybrid | 7 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1584000
901-960,8kW,Hybrid,JA Solar China,CanadainSolar Canada,Lead Acid,4,960000,1,8,901-960 Hybrid JA Solar China CanadainSolar Canada Lead Acid,8kW Hybrid | 8 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1776000
961-1200,10kW,Hybrid,JA Solar China,CanadainSolar Canada,Lead Acid,5,1140000,1,10,961-1200 Hybrid JA Solar China CanadainSolar Canada Lead Acid,10kW Hybrid | 10 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 2160000
0-120,1kW,Hybrid,JA Solar China,Growatt China,Lead Acid,1,109500,1,1,0-120 Hybrid JA Solar China Growatt China Lead Acid,1kW Hybrid | 1 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 216500
121-240,2kW,Hybrid,JA Solar China,Growatt China,Lead Acid,1,157500,1,2,121-240 Hybrid JA Solar China Growatt China Lead Acid,2kW Hybrid | 2 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 361500
241-420,3.5kW,Hybrid,JA Solar China,Growatt China,Lead Acid,2,324000,1,4,241-420 Hybrid JA Solar China Growatt China Lead Acid,3.5kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 732000
421-480,4kW,Hybrid,JA Solar China,Growatt China,Lead Acid,2,510000,1,4,421-480 Hybrid JA Solar China Growatt China Lead Acid,4kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 918000
481-600,5kW,Hybrid,JA Solar China,Growatt China,Lead Acid,3,630000,1,5,481-600 Hybrid JA Solar China Growatt China Lead Acid,5kW Hybrid | 5 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1200000
601-900,7.5kW,Hybrid,JA Solar China,Growatt China,Lead Acid,4,810000,1,7,601-900 Hybrid JA Solar China Growatt China Lead Acid,7.5kW Hybrid | 7 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1584000
901-960,8kW,Hybrid,JA Solar China,Growatt China,Lead Acid,4,870000,1,8,901-960 Hybrid JA Solar China Growatt China Lead Acid,8kW Hybrid | 8 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1686000
961-1200,10kW,Hybrid,JA Solar China,Growatt China,Lead Acid,5,945000,1,10,961-1200 Hybrid JA Solar China Growatt China Lead Acid,10kW Hybrid | 10 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1965000
0-120,1kW,Hybrid,Jinko Solar China,Goodwee China,Lead Acid,1,111000,1,1,0-120 Hybrid Jinko Solar China Goodwee China Lead Acid,1kW Hybrid | 1 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 222000
121-240,2kW,Hybrid,Jinko Solar China,Goodwee China,Lead Acid,1,165000,1,2,121-240 Hybrid Jinko Solar China Goodwee China Lead Acid,2kW Hybrid | 2 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 377000
241-420,3.5kW,Hybrid,Jinko Solar China,Goodwee China,Lead Acid,2,315000,1,4,241-420 Hybrid Jinko Solar China Goodwee China Lead Acid,3.5kW Hybrid | 4 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 739000
421-480,4kW,Hybrid,Jinko Solar China,Goodwee China,Lead Acid,2,450000,1,4,421-480 Hybrid Jinko Solar China Goodwee China Lead Acid,4kW Hybrid | 4 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 874000
481-600,5kW,Hybrid,Jinko Solar China,Goodwee China,Lead Acid,3,615000,1,5,481-600 Hybrid Jinko Solar China Goodwee China Lead Acid,5kW Hybrid | 5 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1205000
601-900,7.5kW,Hybrid,Jinko Solar China,Goodwee China,Lead Acid,4,780000,1,7,601-900 Hybrid Jinko Solar China Goodwee China Lead Acid,7.5kW Hybrid | 7 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1582000
901-960,8kW,Hybrid,Jinko Solar China,Goodwee China,Lead Acid,4,840000,1,8,901-960 Hybrid Jinko Solar China Goodwee China Lead Acid,8kW Hybrid | 8 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1688000
961-1200,10kW,Hybrid,Jinko Solar China,Goodwee China,Lead Acid,5,930000,1,10,961-1200 Hybrid Jinko Solar China Goodwee China Lead Acid,10kW Hybrid | 10 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1990000
0-120,1kW,Hybrid,Jinko Solar China,SMA Germany ,Lead Acid,1,141000,1,1,0-120 Hybrid Jinko Solar China SMA Germany  Lead Acid,1kW Hybrid | 1 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 252000
121-240,2kW,Hybrid,Jinko Solar China,SMA Germany ,Lead Acid,1,210000,1,2,121-240 Hybrid Jinko Solar China SMA Germany  Lead Acid,2kW Hybrid | 2 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 422000
241-420,3.5kW,Hybrid,Jinko Solar China,SMA Germany ,Lead Acid,2,390000,1,4,241-420 Hybrid Jinko Solar China SMA Germany  Lead Acid,3.5kW Hybrid | 4 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 814000
421-480,4kW,Hybrid,Jinko Solar China,SMA Germany ,Lead Acid,2,555000,1,4,421-480 Hybrid Jinko Solar China SMA Germany  Lead Acid,4kW Hybrid | 4 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 979000
481-600,5kW,Hybrid,Jinko Solar China,SMA Germany ,Lead Acid,3,735000,1,5,481-600 Hybrid Jinko Solar China SMA Germany  Lead Acid,5kW Hybrid | 5 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1325000
601-900,7.5kW,Hybrid,Jinko Solar China,SMA Germany ,Lead Acid,4,870000,1,7,601-900 Hybrid Jinko Solar China SMA Germany  Lead Acid,7.5kW Hybrid | 7 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1672000
901-960,8kW,Hybrid,Jinko Solar China,SMA Germany ,Lead Acid,4,975000,1,8,901-960 Hybrid Jinko Solar China SMA Germany  Lead Acid,8kW Hybrid | 8 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1823000
961-1200,10kW,Hybrid,Jinko Solar China,SMA Germany ,Lead Acid,5,1170000,1,10,961-1200 Hybrid Jinko Solar China SMA Germany  Lead Acid,10kW Hybrid | 10 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 2230000
0-120,1kW,Hybrid,Jinko Solar China,CanadainSolar Canada,Lead Acid,1,136500,1,1,0-120 Hybrid Jinko Solar China CanadainSolar Canada Lead Acid,1kW Hybrid | 1 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 247500
121-240,2kW,Hybrid,Jinko Solar China,CanadainSolar Canada,Lead Acid,1,195000,1,2,121-240 Hybrid Jinko Solar China CanadainSolar Canada Lead Acid,2kW Hybrid | 2 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 407000
241-420,3.5kW,Hybrid,Jinko Solar China,CanadainSolar Canada,Lead Acid,2,330000,1,4,241-420 Hybrid Jinko Solar China CanadainSolar Canada Lead Acid,3.5kW Hybrid | 4 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 754000
421-480,4kW,Hybrid,Jinko Solar China,CanadainSolar Canada,Lead Acid,2,465000,1,4,421-480 Hybrid Jinko Solar China CanadainSolar Canada Lead Acid,4kW Hybrid | 4 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 889000
481-600,5kW,Hybrid,Jinko Solar China,CanadainSolar Canada,Lead Acid,3,615000,1,5,481-600 Hybrid Jinko Solar China CanadainSolar Canada Lead Acid,5kW Hybrid | 5 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1205000
601-900,7.5kW,Hybrid,Jinko Solar China,CanadainSolar Canada,Lead Acid,4,810000,1,7,601-900 Hybrid Jinko Solar China CanadainSolar Canada Lead Acid,7.5kW Hybrid | 7 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1612000
901-960,8kW,Hybrid,Jinko Solar China,CanadainSolar Canada,Lead Acid,4,960000,1,8,901-960 Hybrid Jinko Solar China CanadainSolar Canada Lead Acid,8kW Hybrid | 8 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1808000
961-1200,10kW,Hybrid,Jinko Solar China,CanadainSolar Canada,Lead Acid,5,1140000,1,10,961-1200 Hybrid Jinko Solar China CanadainSolar Canada Lead Acid,10kW Hybrid | 10 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 2200000
0-120,1kW,Hybrid,Jinko Solar China,Growatt China,Lead Acid,1,109500,1,1,0-120 Hybrid Jinko Solar China Growatt China Lead Acid,1kW Hybrid | 1 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 220500
121-240,2kW,Hybrid,Jinko Solar China,Growatt China,Lead Acid,1,157500,1,2,121-240 Hybrid Jinko Solar China Growatt China Lead Acid,2kW Hybrid | 2 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 369500
241-420,3.5kW,Hybrid,Jinko Solar China,Growatt China,Lead Acid,2,324000,1,4,241-420 Hybrid Jinko Solar China Growatt China Lead Acid,3.5kW Hybrid | 4 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 748000
421-480,4kW,Hybrid,Jinko Solar China,Growatt China,Lead Acid,2,510000,1,4,421-480 Hybrid Jinko Solar China Growatt China Lead Acid,4kW Hybrid | 4 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 934000
481-600,5kW,Hybrid,Jinko Solar China,Growatt China,Lead Acid,3,630000,1,5,481-600 Hybrid Jinko Solar China Growatt China Lead Acid,5kW Hybrid | 5 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1220000
